Locus	Name	main	G1_trimmed_unaligned_RFAM_RNACentral	G2_trimmed_unaligned_RFAM_RNACentral	G3_trimmed_unaligned_RFAM_RNACentral	U1_trimmed_unaligned_RFAM_RNACentral	W0U1_trimmed_unaligned_RFAM_RNACentral	W0U2_trimmed_unaligned_RFAM_RNACentral	W0U3_trimmed_unaligned_RFAM_RNACentral	W3I1_trimmed_unaligned_RFAM_RNACentral	W3I2_trimmed_unaligned_RFAM_RNACentral	W3I3_trimmed_unaligned_RFAM_RNACentral	W5I1_trimmed_unaligned_RFAM_RNACentral	W5I2_trimmed_unaligned_RFAM_RNACentral	W5I3_trimmed_unaligned_RFAM_RNACentral	W7I1_trimmed_unaligned_RFAM_RNACentral	W7I2_trimmed_unaligned_RFAM_RNACentral	W7I3_trimmed_unaligned_RFAM_RNACentral
chr1A_part1:2205778-2205813	Cluster_4	1295	0	0	0	1	0	111	215	11	93	104	285	45	222	104	49	55
chr1A_part1:2478180-2478369	Cluster_7	368	0	0	0	0	0	43	50	3	30	35	35	11	67	29	34	31
chr1A_part1:6154814-6155472	Cluster_14	669	0	0	0	0	0	62	77	8	56	62	57	22	151	58	50	66
chr1A_part1:49996677-49996792	Cluster_64	3074	2	0	0	0	0	336	911	19	244	410	515	82	229	104	124	98
chr1A_part1:49996931-49997127	Cluster_65	675	0	0	0	0	0	81	130	3	51	100	38	2	163	15	47	45
chr1A_part1:49997711-49998012	Cluster_66	571	0	0	0	0	0	77	184	0	41	89	30	2	97	6	21	24
chr1A_part1:58359089-58359329	Cluster_80	391	0	0	0	0	1	51	55	8	17	43	46	23	80	20	21	26
chr1A_part1:97805098-97805330	Cluster_131	541	0	0	0	1	0	41	76	7	33	49	81	17	81	47	52	56
chr1A_part1:309399489-309399570	Cluster_262	708	0	0	0	1	0	85	110	9	33	64	46	14	164	34	64	84
chr1A_part1:326329204-326329300	Cluster_270	265	0	0	0	1	0	28	30	2	18	26	26	8	43	28	23	32
chr1A_part1:355323385-355324958	Cluster_297	294	0	0	0	0	0	35	58	13	26	25	31	19	32	15	21	19
