Chromosome	Region	Covered by repeats	LTR/GYPSY	LTR/Copia	Unknown Repeat	DNA/MULE-MuDR
chr1A	Centromere	56.2645	25.38	2.37	10.31	9.22
chr1A	NonCentromere	30.9292823012	7.66	2.68	6.28	2.59
chr1B	Centromere	55.327	9.74	8.64	9.29	4.41
chr1B	NonCentromere	33.8640795736	11.05	3.37	5.77	2.62
chr2A	Centromere	62.053	19.24	2.73	11.05	9.95
chr2A	NonCentromere	32.4155977822	10.02	2.86	6.35	2.2
chr2B	Centromere	59.187	20.01	2.98	7.3	9.97
chr2B	NonCentromere	32.7426092955	10.21	3.12	5.8	2.4
chr3A	Centromere	40.0995	16.05	1.02	5.35	5.71
chr3A	NonCentromere	32.2879817377	10.14	2.64	6.17	1.53
chr3B	Centromere	61.1575	21.04	8.61	9.52	2.81
chr3B	NonCentromere	35.9632788007	11.4	3.21	6.84	2.68
chr4A	Centromere	57.685	24.94	2.67	6.33	14.62
chr4A	NonCentromere	33.1087339064	10.13	2.84	6.85	2.2
chr4B	Centromere	48.1205	16.49	5.5	6.86	4.58
chr4B	NonCentromere	33.0644155948	10.24	3.11	6.63	2.45
chr5A	Centromere	56.6985	32.31	2.61	4.32	4.11
chr5A	NonCentromere	30.8993379152	9.65	2.68	5.79	1.91
chr5B	Centromere	53.384	20.32	3.08	7.76	8.1
chr5B	NonCentromere	31.576976168	9.93	3.2	6.22	1.34
chr6A	Centromere	62.0845	27.54	5.22	9.63	6.83
chr6A	NonCentromere	32.8497650359	10.16	3.12	6.51	2.21
chr6B	Centromere	64.2615	31.73	8.11	9.0	6.32
chr6B	NonCentromere	34.2242101756	11.95	2.98	6.03	2.82
chr7A	Centromere	54.167	28.45	5.32	7.4	2.02
chr7A	NonCentromere	29.9520014937	7.95	3.16	6.06	1.29
chr7B	Centromere	57.258	22.1	3.54	4.74	10.43
chr7B	NonCentromere	31.4058994403	9.36	2.58	6.53	2.23
chr8A	Centromere	39.047	13.28	1.29	7.73	7.36
chr8A	NonCentromere	31.6187161717	9.14	2.76	6.3	1.73
chr8B	Centromere	61.817	32.63	8.21	5.08	1.98
chr8B	NonCentromere	32.2236838516	8.73	4.15	6.06	1.54
chr9A	Centromere	57.841	10.44	8.75	7.25	21.55
chr9A	NonCentromere	29.6222165319	9.59	2.72	5.59	1.86
chr9B	Centromere	61.046	18.17	4.17	9.24	14.63
chr9B	NonCentromere	31.5803059409	9.94	3.95	5.56	1.54
chr10A	Centromere	60.178	33.77	5.36	5.13	7.61
chr10A	NonCentromere	30.5570739479	8.88	2.57	6.3	2.2
chr10B	Centromere	56.941	24.29	9.94	4.3	4.76
chr10B	NonCentromere	35.3634751328	13.69	2.99	5.85	1.62
chr11A	Centromere	60.9445	29.76	10.41	8.54	1.31
chr11A	NonCentromere	31.4499029706	8.89	2.59	6.31	3.44
chr11B	Centromere	66.268	39.76	7.1	7.39	2.76
chr11B	NonCentromere	31.4966700584	8.48	2.7	6.66	1.8
chr12A	Centromere	53.9445	30.19	4.06	5.8	5.32
chr12A	NonCentromere	31.4230709558	9.8	2.48	6.74	1.73
chr12B	Centromere	46.8445	27.51	0.95	6.13	1.95
chr12B	NonCentromere	32.963709703	11.62	3.63	5.87	1.72
chr13A	Centromere	55.7515	31.56	2.02	6.27	6.73
chr13A	NonCentromere	31.6062990362	9.8	3.12	5.28	2.97
chr13B	Centromere	46.495	17.84	2.6	4.52	12.77
chr13B	NonCentromere	29.4097324012	8.01	2.63	5.56	2.83
chr14A	Centromere	64.419	37.28	5.48	8.88	0.69
chr14A	NonCentromere	29.943475908	6.97	4.4	6.01	3.2
chr14B	Centromere	63.8145	31.74	4.06	10.5	3.64
chr14B	NonCentromere	33.2392454932	11.08	3.15	6.12	2.64
chr15A	Centromere	56.6685	21.58	2.92	13.31	3.61
chr15A	NonCentromere	32.961547642	10.44	2.48	6.67	2.71
chr15B	Centromere	55.8135	28.38	3.37	5.53	2.39
chr15B	NonCentromere	34.688314075	11.78	3.27	6.0	3.1
chr16A	Centromere	60.9225	42.23	2.98	4.89	2.63
chr16A	NonCentromere	30.3043181327	9.32	2.9	6.01	1.84
chr16B	Centromere	62.622	34.25	5.6	5.37	1.51
chr16B	NonCentromere	32.4297491712	10.88	2.9	5.73	1.91
chr17A	Centromere	64.5965	19.63	5.93	9.55	6.23
chr17A	NonCentromere	27.0501718685	7.66	3.35	5.81	1.44
chr17B	Centromere	54.2765	29.91	7.02	6.07	6.51
chr17B	NonCentromere	28.1696434806	7.31	2.37	5.02	2.69
chr18A	Centromere	53.739	29.09	3.16	7.65	1.92
chr18A	NonCentromere	28.6648024375	7.86	3.3	5.18	2.57
chr18B	Centromere	55.0605	16.05	8.65	3.78	15.08
chr18B	NonCentromere	34.093187617	11.36	3.2	5.68	2.35
