Repeat	chr1A	chr1B	chr2A	chr2B	chr3A	chr3B	chr4A	chr4B	chr5A	chr5B	chr6A	chr6B	chr7A	chr7B	chr8A	chr8B	chr9A	chr9B	chr10A	chr10B	chr11A	chr11B	chr12A	chr12B	chr13A	chr13B	chr14A	chr14B	chr15A	chr15B	chr16A	chr16B	chr17A	chr17B	chr18A	chr18B
ClassI:LTR:ERV	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0
ClassII:Helitron:?	2.2	3.0	0.7	1.5	0.1	1.3	0.1	0.0	0.0	0.0	0.0	0.0	0.9	0.2	0.2	6.0	0.6	0.6	0.1	0.3	0.0	0.0	0.2	0.2	0.2	0.4	0.6	0.8	0.1	1.6	3.2	1.3	0.0	1.3	0.0	0.1
ClassI:LTR:Copia	4.2	24.1	6.6	3.7	5.8	14.4	9.2	11.1	15.3	18.1	7.5	16.3	11.4	17.1	4.6	8.4	16.1	7.9	9.9	13.0	7.7	35.0	14.8	11.4	21.9	11.2	20.0	23.2	12.8	15.6	9.0	5.6	13.4	16.6	8.6	4.9
ClassII:TIR:PIF-Harbinger	0.2	7.3	0.2	5.6	2.3	3.6	1.4	1.5	4.3	2.4	0.8	0.9	2.1	2.0	3.3	5.9	3.4	3.0	4.2	4.1	3.0	0.0	2.3	5.9	1.1	4.8	2.9	4.1	0.2	1.1	4.2	2.6	5.0	0.7	0.1	1.0
ClassI:?:?	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LARD:?	0.8	0.9	0.6	0.6	9.9	2.6	0.5	0.0	0.2	0.4	0.2	1.4	0.9	2.0	0.8	0.9	2.6	7.0	0.3	0.0	0.2	0.0	0.2	1.5	0.3	2.9	1.7	0.2	0.7	1.4	0.6	0.6	0.3	2.9	2.5	2.6
ClassI:DIRS:DIRS	0.1	5.9	0.0	0.0	12.2	3.4	0.0	0.3	0.3	0.2	0.5	0.1	0.0	0.0	1.3	19.3	1.7	0.0	1.4	0.0	0.0	0.0	0.1	0.1	2.7	0.0	0.0	0.0	0.0	0.1	0.0	0.8	3.3	1.4	3.9	0.0
ClassI:LINE:I	0.0	0.0	0.6	0.6	0.0	0.0	0.0	0.0	8.7	3.0	0.0	0.0	0.0	0.0	2.2	0.0	5.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	1.8	2.4	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.7	4.0	0.0
ClassII:?:Academ	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.3	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.3	0.0	0.0	0.0	0.3	0.4	0.0	0.0	0.0	0.0	0.4
ClassI:LTR:Retrovirus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassII:?:?	0.6	0.1	0.6	0.6	0.5	0.3	0.0	0.1	1.0	2.0	1.2	0.2	0.2	1.1	0.4	0.1	0.3	2.0	0.1	0.1	0.0	0.0	0.8	0.9	0.4	0.4	0.0	0.3	0.1	0.5	1.0	0.6	0.7	0.1	0.0	0.6
ClassII:TIR:MuDR	21.5	31.3	12.0	8.3	9.2	7.3	16.6	11.7	22.0	14.8	19.7	12.7	9.8	12.1	10.1	7.1	27.4	18.2	3.3	6.6	15.7	3.1	16.1	8.5	12.2	9.0	3.6	5.8	24.8	0.8	9.0	6.4	7.6	1.2	9.5	17.7
ClassI:SINE:?	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.1	0.0	0.0	0.0	0.0
ClassI:LTR:?	3.1	11.5	11.2	8.7	7.2	1.7	5.6	0.0	5.0	4.8	7.5	4.6	8.4	3.6	1.2	4.4	0.8	2.8	14.2	13.3	0.0	0.4	3.9	3.5	4.3	5.2	7.1	13.7	5.6	11.1	1.4	1.5	3.0	3.4	4.0	14.1
ClassII:TIR:?	8.8	4.3	16.5	20.7	6.2	6.8	20.5	7.1	4.2	9.4	6.5	6.3	21.2	9.9	16.9	15.3	14.3	14.3	10.5	8.3	28.2	20.4	3.7	6.7	6.0	16.1	12.1	13.7	10.5	5.8	12.7	12.5	5.6	18.1	13.3	31.8
ClassI:DIRS:?	1.4	2.2	0.0	0.0	0.1	0.0	0.0	0.9	2.5	3.0	0.0	6.1	0.1	0.0	2.2	0.2	0.2	0.2	0.0	0.3	0.0	0.0	0.0	0.0	2.1	0.0	1.3	1.8	0.0	1.2	2.2	0.0	0.0	0.0	10.4	0.3
ClassII:TIR:CACTA	1.1	0.4	11.4	13.7	0.0	6.0	14.0	17.2	0.1	0.2	22.0	13.0	3.7	0.3	15.7	0.0	1.1	0.2	3.3	0.1	0.0	0.4	0.4	0.5	0.6	0.8	1.0	0.3	2.9	5.2	0.4	18.1	32.9	0.8	4.5	6.7
ClassII:TIR:P	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.1	0.2	0.0	0.0	0.0	0.3	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassII:Maverick:?	0.3	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.7	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9	0.2	0.1	0.0	0.1	0.0	0.0
noCat	11.5	2.3	0.3	0.7	9.2	12.1	1.1	1.3	0.4	0.9	0.2	0.4	0.3	1.7	4.2	0.3	2.1	1.7	4.0	1.0	5.5	0.0	0.2	0.6	1.2	0.9	1.3	2.1	0.3	0.0	0.0	0.2	0.1	2.3	3.5	0.0
ClassI:LINE:?	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	1.4	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LINE:Jockey	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LTR:Gypsy	32.7	17.0	31.8	20.9	30.0	31.8	33.3	35.6	39.3	36.2	29.1	35.6	42.5	38.2	26.8	33.2	26.8	37.4	39.5	37.1	42.3	25.3	55.4	51.2	33.8	25.9	43.7	39.4	28.3	36.3	56.6	39.4	24.3	43.6	37.9	29.9
ClassII:Helitron:Helitron	0.0	5.4	7.7	9.9	2.8	10.0	11.7	0.8	0.4	0.5	0.4	0.0	0.0	7.0	0.0	0.9	1.1	6.9	4.8	6.7	0.0	0.0	0.0	0.0	0.1	0.1	1.5	2.2	7.7	4.6	0.8	0.6	6.9	5.9	0.0	0.3
SSR	0.0	0.9	9.6	0.0	3.5	0.0	0.0	2.3	0.1	0.1	0.0	3.7	0.0	6.2	9.3	2.4	0.0	1.5	6.4	7.9	0.0	0.0	0.0	0.0	6.7	6.0	0.0	0.1	0.6	8.5	0.1	0.0	2.0	9.2	0.0	12.1
ClassII:MITE:?	0.6	0.4	0.4	0.5	0.5	0.2	0.2	0.8	0.6	0.7	0.4	0.8	0.2	0.7	1.2	0.9	0.5	0.3	0.5	0.1	0.0	0.2	0.9	0.7	0.7	0.6	0.2	0.8	1.2	0.7	0.5	0.4	0.0	1.6	0.4	0.3
