Locus	Name	main	G1_trimmed_unaligned_RFAM_RNACentral	G2_trimmed_unaligned_RFAM_RNACentral	G3_trimmed_unaligned_RFAM_RNACentral	U1_trimmed_unaligned_RFAM_RNACentral	W0U1_trimmed_unaligned_RFAM_RNACentral	W0U2_trimmed_unaligned_RFAM_RNACentral	W0U3_trimmed_unaligned_RFAM_RNACentral	W3I1_trimmed_unaligned_RFAM_RNACentral	W3I2_trimmed_unaligned_RFAM_RNACentral	W3I3_trimmed_unaligned_RFAM_RNACentral	W5I1_trimmed_unaligned_RFAM_RNACentral	W5I2_trimmed_unaligned_RFAM_RNACentral	W5I3_trimmed_unaligned_RFAM_RNACentral	W7I1_trimmed_unaligned_RFAM_RNACentral	W7I2_trimmed_unaligned_RFAM_RNACentral	W7I3_trimmed_unaligned_RFAM_RNACentral
chr1A:39141-40947	Cluster_9	1476	183	327	274	228	0	0	0	0	0	0	3	1	0	142	119	199
chr1A:45583-46472	Cluster_14	287	46	68	56	35	0	0	0	0	0	0	0	0	0	20	28	34
chr1A:59404-62082	Cluster_21	749	84	146	115	105	0	0	0	0	0	0	0	0	1	50	120	128
chr1A:88791-90499	Cluster_36	320	111	68	81	45	0	0	0	0	0	1	0	1	2	2	4	5
chr1A:117460-119274	Cluster_48	475	75	162	111	63	0	0	0	0	0	0	0	0	3	11	20	30
chr1A:133020-133988	Cluster_54	365	270	51	30	8	0	0	0	1	0	0	0	1	0	2	2	0
chr1A:134744-135621	Cluster_56	566	434	63	47	13	0	0	0	0	0	0	0	0	0	1	3	5
chr1A:135743-136248	Cluster_57	452	352	50	40	9	0	0	0	0	0	0	0	0	0	1	0	0
chr1A:181646-182962	Cluster_68	334	36	62	52	47	0	0	0	0	0	0	0	0	0	23	65	49
chr1A:217964-220556	Cluster_79	3730	864	1213	911	644	0	1	1	0	2	2	2	5	14	16	26	29
chr1A:293155-294505	Cluster_100	460	299	69	55	36	0	0	0	0	0	0	0	0	0	0	0	1
chr1A:313983-318108	Cluster_106	1567	1070	243	174	49	0	0	0	1	1	2	1	1	3	12	7	3
chr1A:366631-367747	Cluster_128	442	198	124	86	29	0	0	0	0	0	0	0	0	0	0	5	0
chr1A:368306-369819	Cluster_130	253	103	66	58	23	0	0	0	0	0	0	0	0	1	1	1	0
chr1A:391336-393142	Cluster_139	763	157	255	192	149	0	0	0	0	0	0	0	1	0	0	5	4
chr1A:466746-467209	Cluster_157	274	41	57	29	28	0	0	0	0	0	0	3	0	0	24	38	54
chr1A:497294-499515	Cluster_171	259	26	52	50	40	0	0	1	0	0	0	0	0	0	15	31	44
chr1A:500470-504449	Cluster_172	407	51	91	71	63	0	0	1	1	1	0	0	0	0	28	44	56
chr1A:510471-513043	Cluster_176	580	349	94	90	44	0	0	0	0	0	1	0	1	0	0	0	1
chr1A:539001-539264	Cluster_185	287	46	84	58	63	0	0	0	0	0	0	0	1	0	4	15	16
chr1A:539551-540150	Cluster_186	567	75	149	132	85	0	0	0	0	0	0	0	0	1	30	51	44
